sku,article_number,product_name,category,price_usd,color,size,stock_quantity,stock_status,description,tags
UT-1001,ART-T-S-01-S-BLA,Core Cotton Tee,T-Shirts,21,Black,S,0,Out of Stock,"Core Cotton Tee in Black, size S. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1002,ART-T-S-01-S-WHI,Core Cotton Tee,T-Shirts,19,White,S,3,Low Stock,"Core Cotton Tee in White, size S. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1003,ART-T-S-01-M-BLA,Core Cotton Tee,T-Shirts,21,Black,M,10,In Stock,"Core Cotton Tee in Black, size M. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1004,ART-T-S-01-M-WHI,Core Cotton Tee,T-Shirts,19,White,M,17,In Stock,"Core Cotton Tee in White, size M. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1005,ART-T-S-01-L-BLA,Core Cotton Tee,T-Shirts,21,Black,L,5,In Stock,"Core Cotton Tee in Black, size L. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1006,ART-T-S-01-L-WHI,Core Cotton Tee,T-Shirts,19,White,L,12,In Stock,"Core Cotton Tee in White, size L. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1007,ART-T-S-02-S-BLA,Oversized Street Tee,T-Shirts,24,Black,S,0,Out of Stock,"Oversized Street Tee in Black, size S. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1008,ART-T-S-02-S-WHI,Oversized Street Tee,T-Shirts,22,White,S,2,Low Stock,"Oversized Street Tee in White, size S. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1009,ART-T-S-02-M-BLA,Oversized Street Tee,T-Shirts,24,Black,M,14,In Stock,"Oversized Street Tee in Black, size M. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1010,ART-T-S-02-M-WHI,Oversized Street Tee,T-Shirts,22,White,M,2,Low Stock,"Oversized Street Tee in White, size M. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1011,ART-T-S-02-L-BLA,Oversized Street Tee,T-Shirts,24,Black,L,9,In Stock,"Oversized Street Tee in Black, size L. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1012,ART-T-S-02-L-WHI,Oversized Street Tee,T-Shirts,22,White,L,0,Out of Stock,"Oversized Street Tee in White, size L. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1013,ART-T-S-03-S-BLA,Premium Crew Neck Tee,T-Shirts,26,Black,S,4,Low Stock,"Premium Crew Neck Tee in Black, size S. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1014,ART-T-S-03-S-WHI,Premium Crew Neck Tee,T-Shirts,24,White,S,11,In Stock,"Premium Crew Neck Tee in White, size S. t-shirts option designed for everyday wear and easy styling.","casual, cotton, everyday, summer"
UT-1025,ART-HOO-01-S-BLA,Fleece Pullover Hoodie,Hoodies,47,Black,S,12,In Stock,"Fleece Pullover Hoodie in Black, size S. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1026,ART-HOO-01-S-CHA,Fleece Pullover Hoodie,Hoodies,45,Charcoal,S,0,Out of Stock,"Fleece Pullover Hoodie in Charcoal, size S. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1027,ART-HOO-01-M-BLA,Fleece Pullover Hoodie,Hoodies,47,Black,M,7,In Stock,"Fleece Pullover Hoodie in Black, size M. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1028,ART-HOO-01-M-CHA,Fleece Pullover Hoodie,Hoodies,45,Charcoal,M,14,In Stock,"Fleece Pullover Hoodie in Charcoal, size M. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1029,ART-HOO-01-L-BLA,Fleece Pullover Hoodie,Hoodies,47,Black,L,2,Low Stock,"Fleece Pullover Hoodie in Black, size L. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1030,ART-HOO-01-L-CHA,Fleece Pullover Hoodie,Hoodies,45,Charcoal,L,9,In Stock,"Fleece Pullover Hoodie in Charcoal, size L. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1031,ART-HOO-02-S-BLA,Zip-Up Travel Hoodie,Hoodies,51,Black,S,16,In Stock,"Zip-Up Travel Hoodie in Black, size S. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1032,ART-HOO-02-S-CHA,Zip-Up Travel Hoodie,Hoodies,49,Charcoal,S,4,Low Stock,"Zip-Up Travel Hoodie in Charcoal, size S. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1033,ART-HOO-02-M-BLA,Zip-Up Travel Hoodie,Hoodies,51,Black,M,11,In Stock,"Zip-Up Travel Hoodie in Black, size M. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1034,ART-HOO-02-M-CHA,Zip-Up Travel Hoodie,Hoodies,49,Charcoal,M,0,Out of Stock,"Zip-Up Travel Hoodie in Charcoal, size M. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1035,ART-HOO-02-L-BLA,Zip-Up Travel Hoodie,Hoodies,51,Black,L,6,In Stock,"Zip-Up Travel Hoodie in Black, size L. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1036,ART-HOO-02-L-CHA,Zip-Up Travel Hoodie,Hoodies,49,Charcoal,L,2,Low Stock,"Zip-Up Travel Hoodie in Charcoal, size L. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1037,ART-HOO-03-S-BLA,Heavyweight Urban Hoodie,Hoodies,57,Black,S,1,Low Stock,"Heavyweight Urban Hoodie in Black, size S. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
UT-1038,ART-HOO-03-S-CHA,Heavyweight Urban Hoodie,Hoodies,55,Charcoal,S,8,In Stock,"Heavyweight Urban Hoodie in Charcoal, size S. hoodies option designed for everyday wear and easy styling.","winter, casual, fleece, streetwear"
